paper_id,community,title,year,citations,concepts
https://openalex.org/W2916538579,0,"“WHITE CRISIS” AND/AS “EXISTENTIAL RISK,” OR THE ENTANGLED APOCALYPTICISM OF ARTIFICIAL INTELLIGENCE",2019,29,"Existentialism, Phenomenon, Apocalypticism, Epistemology, White (mutation)"
https://openalex.org/W2922904989,0,The United Nation’s Capability to Manage Existential Risks with a Focus on Artificial Intelligence,2019,16,"Existentialism, Treaty, Humanity, International agency, Engineering ethics"
https://openalex.org/W2951696288,0,"Artificial Intelligence, Discretion, and Bureaucracy",2019,220,"Bureaucracy, Discretion, Context (archaeology), Corporate governance, Task (project management)"
https://openalex.org/W4401361093,0,AGI crimes? The role of criminal law in mitigating existential risks posed by artificial general intelligence,2024,3,"Existentialism, Criminal law, Artificial general intelligence, Law, Political science"
https://openalex.org/W4391757052,1,"Motivations for Artificial Intelligence, for Deep Learning, for ALife: Mortality and Existential Risk",2024,2,"Existentialism, Artificial life, Artificial intelligence, Computer science, Deep learning"
https://openalex.org/W4320038122,2,Extraterrestrial Artificial Intelligence: The Final Existential Risk?,2023,1,"Existentialism, Extraterrestrial life, Psychology, Astrobiology, Artificial intelligence"
https://openalex.org/W883893393,0,Fears of an AI pioneer,2015,82,"CLARITY, Artificial intelligence, Library science, Operations research, Environmental ethics"
https://openalex.org/W4403337010,3,EXISTENTIAL RISKS AND LOSS OF CONTROL IN THE ERA OF ADVANCED ARTIFICIAL INTELLIGENCE,2024,1,"Existentialism, Computer science, Control (management), Artificial intelligence, Philosophy"
https://openalex.org/W2901681280,4,The Risks of Low Level Narrow Artificial Intelligence,2018,54,"Computer science, Risk analysis (engineering), Scale (ratio), Computer security, Data science"
https://openalex.org/W3176353699,0,Privacy and Artificial Intelligence,2021,63,"Computer science, Adversarial system, Field (mathematics), Privacy by Design, Information privacy"
https://openalex.org/W2791614155,5,Accompanying technology development in the Human Brain Project: From foresight to ethics management,2018,35,"Futures studies, Existentialism, Engineering ethics, Context (archaeology), Responsible Research and Innovation"
https://openalex.org/W2984389507,6,"Artificial Intelligence, Finance, and the Law",2019,31,"Harm, Artificial intelligence, Finance, Financial services, Systemic risk"
https://openalex.org/W2971582202,7,"AI: A Key Enabler of Sustainable Development Goals, Part 1 [Industry Activities]",2019,36,"Enabling, Paradigm shift, Key (lock), Process (computing), Revenue"
https://openalex.org/W2953522645,7,The global landscape of AI ethics guidelines,2019,3534,"Transparency (behavior), Divergence (linguistics), Engineering ethics, Political science, Guideline"
https://openalex.org/W3185289815,0,Existential risk from AI and orthogonality: Can we have it both ways?,2021,26,"Existentialism, Argument (complex analysis), Orthogonality, Interpretation (philosophy), Typology"
https://openalex.org/W2891453978,7,"Exploring expanding expertise: artificial intelligence as an existential threat and the role of prestigious commentators, 2014–2018",2018,35,"Existentialism, Political science, Point (geometry), Inclusion (mineral), Empirical research"
https://openalex.org/W3158962138,0,Moral circle expansion: A promising strategy to impact the far future,2021,36,"Sentience, Environmental ethics, Existentialism, Moral disengagement, Perspective (graphical)"
https://openalex.org/W2773965434,0,"Artificial intelligence, alienation and ontological problems of other minds: A critical investigation into the future of man and machines",2017,41,"Existentialism, Alienation, Credence, Relevance (law), Epistemology"
https://openalex.org/W4378627561,4,Managing the risks of artificial general intelligence: A human factors and ergonomics perspective,2023,29,"USable, Existentialism, Perspective (graphical), Set (abstract data type), Engineering ethics"
https://openalex.org/W3045015910,0,Existential Risks to Humanity Should Concern International Policymakers and More Could Be Done in Considering Them at the International Governance Level,2020,15,"Existentialism, Humanity, Corporate governance, Political science, Civilization"
https://openalex.org/W4394759106,5,AI and the falling sky: interrogating X-Risk,2024,17,"Falling (accident), Sky, Data science, Computer science, World Wide Web"
https://openalex.org/W3170108245,0,Discourse analysis of academic debate of ethics for AGI,2021,16,"Existentialism, Deontological ethics, Applied ethics, Sociology, Epistemology"
https://openalex.org/W2994994902,8,The future (Industry 4.0) is closer than we think. Will it also be ethical?,2019,37,"Productivity, Civilization, Business, Engineering ethics, Knowledge management"
https://openalex.org/W2891563899,9,Are We Safe Enough in the Future of Artificial Intelligence? A Discussion on Machine Ethics and Artificial Intelligence Safety7,2018,12,"Artificial intelligence, Perspective (graphical), Computer science, Existentialism, Engineering ethics"
https://openalex.org/W4404713054,10,The AI Dilemma: Growth versus Existential Risk,2024,19,"Existentialism, Dilemma, Psychology, Philosophy, Epistemology"
https://openalex.org/W3137845728,11,Artificial Intelligence in Financial Industry,2020,11,"Financial services, Realm, Financial sector, Business, Financial engineering"
https://openalex.org/W4229376579,12,The third AI summer: AAAI Robert S. Engelmore Memorial Lecture,2022,71,"Period (music), Artificial intelligence, Commercialization, History, Field (mathematics)"
https://openalex.org/W2037413600,0,"Superintelligence: Paths, Dangers, Strategies",2015,900,"Pace, Humanity, State (computer science), Epistemology, Cognition"
https://openalex.org/W4388411680,13,The A.I. Dilemma: Growth Versus Existential Risk,2023,12,"Existentialism, Dilemma, Economics, Political science, Psychology"
https://openalex.org/W4392545593,0,The Global Institutional Governance of AI: A Four-Dimensional Perspective,2024,20,"Global governance, Narrative, Corporate governance, Political science, Economic system"
https://openalex.org/W3013547516,4,Digital technology and COVID-19,2020,1391,"Coronavirus disease 2019 (COVID-19), 2019-20 coronavirus outbreak, Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), Virology, Betacoronavirus"
https://openalex.org/W3208308327,0,AI and the capitalist space economy,2021,10,"Humanity, Existentialism, Space (punctuation), Sociology, Perspective (graphical)"
https://openalex.org/W4393410893,7,Talking existential risk into being: a Habermasian critical discourse perspective to AI hype,2024,7,"Existentialism, Perspective (graphical), Epistemology, Sociology, Philosophy"
https://openalex.org/W4391592270,0,Understanding Artificial Agency,2024,14,"Agency (philosophy), Artificial intelligence, Philosophy, Computer science, Epistemology"
https://openalex.org/W3123568309,14,"Artificial Intelligence, Finance, and the Law",2019,5,"Harm, Artificial intelligence, Finance, Financial services, Financial engineering"
https://openalex.org/W4392655732,865,The harms of terminology: why we should reject so-called “frontier AI”,2024,8,"Frontier, Existentialism, Generative grammar, Mindset, Public relations"
https://openalex.org/W4394806505,0,Field-building and the epistemic culture of AI safety,2024,12,"Field (mathematics), Assertion, Epistemic community, Knowledge management, Sociology"
https://openalex.org/W4389306294,16,Artificial Super Intelligence (ASI) The Evolution of AI Beyond Human Capacity,2023,5,"Safeguarding, Futures studies, Existentialism, Humanity, Cognition"
https://openalex.org/W2904649625,4,Building dynamic capabilities for digital transformation: An ongoing process of strategic renewal,2018,2183,"Digital transformation, Microfoundations, Process (computing), Dynamic capabilities, Business model"
