_id,title,slug,pageUrl,postedAt,baseScore,voteCount,commentCount,meta,question,url,user.username,user.slug,user.displayName,user,scraped_text,scraped_links,scraped_title,scrape_status,word_count,scrape_error
HpsExWAYKHA6xNy76,AI safety in the age of neural networks and Stanislaw Lem 1959 prediction,ai-safety-in-the-age-of-neural-networks-and-stanislaw-lem,https://www.lesswrong.com/posts/HpsExWAYKHA6xNy76/ai-safety-in-the-age-of-neural-networks-and-stanislaw-lem,2016-01-31T19:08:59.827Z,11,12,9,False,False,,turchin,turchin,turchin,,,,AI safety in the age of neural networks and Stanislaw Lem 1959 prediction — LessWrong,success,0,
i6LDrasYK2y6GgQuW,"Meetup :  LW Melb Rationality Dojo. Including: ""Critical Thoughts on Nutritional Recommendations""",meetup-lw-melb-rationality-dojo-including-critical-thoughts,https://www.lesswrong.com/posts/i6LDrasYK2y6GgQuW/meetup-lw-melb-rationality-dojo-including-critical-thoughts,2016-01-31T11:42:30.642Z,2,2,0,False,False,,Chriswaterguy,chriswaterguy,Chriswaterguy,,,,"Meetup : LW Melb Rationality Dojo. Including: ""Critical Thoughts on Nutritional Recommendations"" — LessWrong",success,0,
2ZxBjuv88cgmSjjbc,Identifying bias. A Bayesian analysis of suspicious agreement between beliefs and values.,identifying-bias-a-bayesian-analysis-of-suspicious-agreement,https://www.lesswrong.com/posts/2ZxBjuv88cgmSjjbc/identifying-bias-a-bayesian-analysis-of-suspicious-agreement,2016-01-31T11:29:05.276Z,14,8,26,False,False,,Stefan_Schubert,stefan_schubert,Stefan_Schubert,,,,Identifying bias. A Bayesian analysis of suspicious agreement between beliefs and values. — LessWrong,success,0,
bLMmKZDTqmdyinTsc,[LINK] How A Lamp Took Away My Reading And A Box Brought It Back,link-how-a-lamp-took-away-my-reading-and-a-box-brought-it,https://www.lesswrong.com/posts/bLMmKZDTqmdyinTsc/link-how-a-lamp-took-away-my-reading-and-a-box-brought-it,2016-01-30T16:55:11.200Z,17,10,4,False,False,,CronoDAS,cronodas,CronoDAS,,,,[LINK] How A Lamp Took Away My Reading And A Box Brought It Back — LessWrong,success,0,
xCrhCkPaexhE2FZKP,[moderator action] The_Lion and The_Lion2 are banned,moderator-action-the_lion-and-the_lion2-are-banned,https://www.lesswrong.com/posts/xCrhCkPaexhE2FZKP/moderator-action-the_lion-and-the_lion2-are-banned,2016-01-30T02:09:28.603Z,90,56,41,False,False,,Viliam_Bur,viliam_bur,Viliam_Bur,,,,[moderator action] The_Lion and The_Lion2 are banned — LessWrong,success,0,
5bd75cc58225bf06703750c6,Another toy model of the control problem,another-toy-model-of-the-control-problem,https://www.lesswrong.com/posts/5bd75cc58225bf06703750c6/another-toy-model-of-the-control-problem,2016-01-30T01:50:12.000Z,1,1,0,False,False,https://medium.com/ai-control/modeling-ai-control-with-humans-6d285c1a114d#.wpnobw8fm,paulfchristiano,paulfchristiano,paulfchristiano,,This is a linkpost for https://medium.com/ai-control/modeling-ai-control-with-humans-6d285c1a114d#.wpnobw8fm,"[{""text"": ""https://medium.com/ai-control/modeling-ai-control-with-humans-6d285c1a114d#.wpnobw8fm"", ""url"": ""https://www.lesswrong.com/out?url=https%3A%2F%2Fmedium.com%2Fai-control%2Fmodeling-ai-control-with-humans-6d285c1a114d%23.wpnobw8fm""}]",Another toy model of the control problem — LessWrong,success,6,
4qPy8jwRxLg9qWLiG,"Yoshua Bengio on AI progress, hype and risks",yoshua-bengio-on-ai-progress-hype-and-risks,https://www.lesswrong.com/posts/4qPy8jwRxLg9qWLiG/yoshua-bengio-on-ai-progress-hype-and-risks,2016-01-30T01:45:53.290Z,14,9,10,False,False,,V_V,v_v,V_V,,,,"Yoshua Bengio on AI progress, hype and risks — LessWrong",success,0,
3KAFLdJKeheRJLrFf,Positive utility in an infinite universe,positive-utility-in-an-infinite-universe,https://www.lesswrong.com/posts/3KAFLdJKeheRJLrFf/positive-utility-in-an-infinite-universe,2016-01-29T23:40:45.491Z,3,4,13,False,False,,casebash,casebash,casebash,,,,Positive utility in an infinite universe — LessWrong,success,0,
BvgatbfofknD3MNx2,Meetup : San Antonio Meetup Discussion (Topic: Pre-Hindsight),meetup-san-antonio-meetup-discussion-topic-pre-hindsight,https://www.lesswrong.com/posts/BvgatbfofknD3MNx2/meetup-san-antonio-meetup-discussion-topic-pre-hindsight,2016-01-29T22:30:07.376Z,2,2,0,False,False,,Bryan-san,bryan-san,Bryan-san,,,,Meetup : San Antonio Meetup Discussion (Topic: Pre-Hindsight) — LessWrong,success,0,
2gCjiASWJ94JRyznx,Clearing An Overgrown Garden,clearing-an-overgrown-garden,https://www.lesswrong.com/posts/2gCjiASWJ94JRyznx/clearing-an-overgrown-garden,2016-01-29T22:16:56.620Z,15,20,18,False,False,,Anders_H,anders_h,Anders_H,,,,Clearing An Overgrown Garden — LessWrong,success,0,
