_id,title,slug,pageUrl,postedAt,baseScore,voteCount,commentCount,meta,question,url,user.username,user.slug,user.displayName,user,scraped_content
htDnKvr5cGx7mnSwZ,9 Strategies for Effective Donors ,9-strategies-for-effective-donors,https://www.lesswrong.com/posts/htDnKvr5cGx7mnSwZ/9-strategies-for-effective-donors,2016-02-29T18:33:32.636Z,-5,10,8,False,False,,Gleb_Tsipursky,gleb_tsipursky,Gleb_Tsipursky,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/htDnKvr5cGx7mnSwZ/9-strategies-for-effective-donors
WD2wfXBscX782T8en,"Open Thread Feb 29 - March 6, 2016",open-thread-feb-29-march-6-2016,https://www.lesswrong.com/posts/WD2wfXBscX782T8en/open-thread-feb-29-march-6-2016,2016-02-28T22:11:18.454Z,9,5,289,False,False,,Elo,elo,Elo,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/WD2wfXBscX782T8en/open-thread-feb-29-march-6-2016
CrCBnMjSfazQNwt3Y,"Meetup : Ann Arbor Meetup - Saturday, March 5, 7 PM, Amer's",meetup-ann-arbor-meetup-saturday-march-5-7-pm-amer-s,https://www.lesswrong.com/posts/CrCBnMjSfazQNwt3Y/meetup-ann-arbor-meetup-saturday-march-5-7-pm-amer-s,2016-02-28T22:01:29.861Z,1,1,1,False,False,,Bound_up,bound_up,Bound_up,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/CrCBnMjSfazQNwt3Y/meetup-ann-arbor-meetup-saturday-march-5-7-pm-amer-s
kidpjsxCwfsgH4hQK,Conclusion of the Replacing Guilt series,conclusion-of-the-replacing-guilt-series,https://www.lesswrong.com/posts/kidpjsxCwfsgH4hQK/conclusion-of-the-replacing-guilt-series,2016-02-28T03:00:00.000Z,17,9,0,False,False,https://mindingourway.com/guilt-conclusion/,So8res,so8res,So8res,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/kidpjsxCwfsgH4hQK/conclusion-of-the-replacing-guilt-series
nBB4gNm8fhR2Yh34T,Goal setting journal (March 2016),goal-setting-journal-march-2016,https://www.lesswrong.com/posts/nBB4gNm8fhR2Yh34T/goal-setting-journal-march-2016,2016-02-27T09:39:37.638Z,6,4,12,False,False,,,,,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/nBB4gNm8fhR2Yh34T/goal-setting-journal-march-2016
rvFzgeracFc7PRxf4,Go see Ex Machina,go-see-ex-machina,https://www.lesswrong.com/posts/rvFzgeracFc7PRxf4/go-see-ex-machina,2016-02-26T21:44:29.096Z,-3,8,4,False,False,,lisper,lisper,lisper,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/rvFzgeracFc7PRxf4/go-see-ex-machina
pbAQQZnD2dGhsDckE,Weekly LW Meetups,weekly-lw-meetups-130,https://www.lesswrong.com/posts/pbAQQZnD2dGhsDckE/weekly-lw-meetups-130,2016-02-26T16:38:39.208Z,1,1,0,False,False,,,,,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/pbAQQZnD2dGhsDckE/weekly-lw-meetups-130
xsoS2bzZXfC8tKFoM,"If there IS alien super-inteligence in our own galaxy, then what it could be like?",if-there-is-alien-super-inteligence-in-our-own-galaxy-then,https://www.lesswrong.com/posts/xsoS2bzZXfC8tKFoM/if-there-is-alien-super-inteligence-in-our-own-galaxy-then,2016-02-26T11:55:46.779Z,8,9,59,False,False,,Coacher,coacher,Coacher,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/xsoS2bzZXfC8tKFoM/if-there-is-alien-super-inteligence-in-our-own-galaxy-then
cSnayX3PJAMhfz28R,Is altruistic deception really necessary? Social activism and the free market,is-altruistic-deception-really-necessary-social-activism-and,https://www.lesswrong.com/posts/cSnayX3PJAMhfz28R/is-altruistic-deception-really-necessary-social-activism-and,2016-02-26T06:38:16.032Z,9,11,96,False,False,,PhilGoetz,philgoetz,PhilGoetz,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/cSnayX3PJAMhfz28R/is-altruistic-deception-really-necessary-social-activism-and
vfKtZYXpxNkje7JKF,The Philosophical Implications of Quantum Information Theory,the-philosophical-implications-of-quantum-information-theory,https://www.lesswrong.com/posts/vfKtZYXpxNkje7JKF/the-philosophical-implications-of-quantum-information-theory,2016-02-26T02:00:27.888Z,9,16,55,False,False,,lisper,lisper,lisper,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/vfKtZYXpxNkje7JKF/the-philosophical-implications-of-quantum-information-theory
htCBHjWNvzScEhFoA,Toy model: convergent instrumental goals,toy-model-convergent-instrumental-goals,https://www.lesswrong.com/posts/htCBHjWNvzScEhFoA/toy-model-convergent-instrumental-goals,2016-02-25T14:03:54.016Z,16,10,2,False,False,,Stuart_Armstrong,stuart_armstrong,Stuart_Armstrong,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/htCBHjWNvzScEhFoA/toy-model-convergent-instrumental-goals
Cd6uMn4qHXZcoe2Lh,Discussion: weighting inside view versus outside view on extinction events,discussion-weighting-inside-view-versus-outside-view-on,https://www.lesswrong.com/posts/Cd6uMn4qHXZcoe2Lh/discussion-weighting-inside-view-versus-outside-view-on,2016-02-25T05:18:15.378Z,5,4,4,False,False,,Ilverin,ilverin-the-stupid-and-offensive,Ilverin the Stupid and Offensive,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/Cd6uMn4qHXZcoe2Lh/discussion-weighting-inside-view-versus-outside-view-on
